latency millis per request
43
20
15
21
10
10
17
28
36
6
23
6
9
5
10
4
4
3
8
5
8
4
4
5
3
5
4
5
5
5
5
5
3
5
5
5
4
12
5
8
4
5
4
4
6
5
5
5
4
4
5
3
4
5
4
2
4
18
20
4
4
4
4
4
4
4
3
2
4
3
17
4
5
5
3
4
4
3
4
5
4
4
5
4
4
4
3
2
4
4
5
5
5
5
4
3
4
4
4
5
3
3
4
2
6
3
5
4
4
4
5
10
4
3
3
3
6
4
5
4
5
4
4
5
4
8
4
3
5
4
8
4
3
6
9
4
4
3
9
4
5
4
3
6
3
9
3
4
4
3
2
3
5
5
4
5
4
2
4
6
5
1
3
4
3
6
1
4
3
7
2
4
4
1
4
2
8
3
5
7
4
4
4
2
4
2
3
4
3
3
4
5
4
4
3
4
5
4
4
4
3
2
1
3
2
4
14
3
4
4
6
4
4
4
4
2
4
3
2
2
10
3
3
4
2
3
4
4
4
5
2
4
4
9
3
6
4
4
9
5
2
2
3
8
4
4
4
8
4
2
2
5
4
4
4
4
3
9
3
3
3
4
4
4
3
2
6
4
4
3
7
3
4
1
3
4
5
3
3
4
4
5
19
13
4
4
23
2
4
8
4
4
4
4
5
4
33
4
31
3
4
2
4
4
4
9
16
10
4
3
4
4
2
4
19
5
5
3
3
3
4
2
6
4
3
2
5
10
4
3
12
4
5
3
3
5
2
3
3
4
4
1
4
4
2
3
3
4
3
2
3
2
2
2
5
2
4
2
5
5
5
3
6
5
2
3
2
4
13
5
3
3
3
2
5
1
3
4
2
2
4
2
4
3
3
4
6
3
3
4
4
2
2
5
4
4
5
4
4
9
2
2
3
6
5
4
8
5
19
5
4
4
3
4
6
4
4
2
3
4
9
3
4
3
5
2
2
10
2
2
4
6
74
29
3
6
11
3
4
4
3
4
4
5
26
2
4
4
3
2
2
3
3
6
3
2
4
3
4
1
4
3
4
3
9
2
3
3
2
3
3
3
3
3
2
4
4
4
2
3
3
3
3
2
4
3
5
4
4
3
4
3
3
3
3
3
2
4
2
3
3
4
2
2
3
3
3
2
4
4
7
3
4
4
3
2
6
4
3
1
5
3
8
4
3
4
4
4
9
13
4
4
5
6
5
6
10
3
4
4
4
8
4
10
3
3
3
4
3
3
3
5
3
4
4
4
3
3
4
2
3
4
4
3
3
4
5
4
1
2
4
4
3
2
3
4
2
3
3
2
3
2
3
3
15
4
2
4
4
4
3
3
4
3
2
2
3
3
5
4
4
3
3
3
4
4
4
4
3
3
4
4
8
2
6
3
3
9
3
4
4
3
3
4
4
3
4
9
19
4
20
19
83
5
18
4
3
2
2
4
4
4
3
4
3
4
4
3
4
2
3
4
2
4
4
3
4
2
5
3
4
2
4
4
8
2
4
4
4
3
3
3
1
2
8
3
3
3
3
3
4
4
5
4
3
4
2
3
3
4
4
4
3
3
3
2
4
4
3
5
4
4
3
2
2
3
4
3
2
3
2
2
4
7
3
2
3
3
3
4
4
4
3
1
4
4
2
33
13
13
4
2
35
7
11
12
3
2
3
86
3
3
3
5
23
24
17
3
3
3
4
3
3
3
3
4
3
6
3
3
4
4
4
3
9
3
5
4
4
3
4
4
3
3
3
2
5
3
3
3
3
2
3
4
2
3
2
3
3
5
3
2
4
3
2
4
4
2
4
4
2
3
3
4
4
3
3
1
4
3
2
3
4
4
13
2
1
9
3
3
3
3
142
6
3
4
3
5
2
3
3
3
8
3
2
3
3
3
3
3
10
3
3
1
3
9
3
6
4
3
3
2
3
3
3
4
6
3
3
5
3
3
3
3
4
3
9
4
7
3
3
3
2
4
3
3
3
2
2
8
3
3
3
3
2
2
2
4
3
3
3
4
4
8
5
3
3
3
4
3
6
2
3
3
3
3
2
4
3
3
9
3
2
3
2
3
7
3
9
3
4
34
10
2
15
9
53
1
16
26
4
6
3
3
3
14
3
3
4
3
3
3
2
3
3
1
3
1
8
2
3
10
2
3
2
2
2
7
3
3
2
6
3
3
3
4
3
3
4
2
5
4
20
3
3
3
3
3
1
3
4
4
3
3
4
6
4
3
3
3
3
9
3
3
3
4
2
3
2
3
2
3
3
3
3
3
3
5
4
13
2
3
21
9
14
34
3
6
3
5
3
3
16
9
4
3
3
2
3
3
3
4
2
4
2
9
3
8
4
12
4
1
3
4
4
3
4
3
4
2
1
3
3
3
2
3
3
5
3
2
4
3
5
3
2
3
4
3
4
2
3
3
3
2
4
3
4
4
3
2
3
4
3
4
2
9
3
1
3
4
5
11
3
3
5
3
21
15
6
6
2
4
7
6
26
4
10
10
3
4
3
5
3
5
5
4
3
5
3
3
3
5
4
2
3
4
4
4
4
2
3
2
3
2
3
3
3
3
4
4
5
4
3
3
3
3
4
3
3
7
3
3
3
5
3
5
4
3
4
2
3
2
6
33
2
3
3
5
3
3
2
5
3
65
35
42
46
3
3
14
12
11
18
12
2
2
3
2
4
2
3
3
5
3
2
3
3
3
3
3
3
3
3
3
3
2
3
3
2
7
2
2
3
3
3
7
3
2
3
3
5
2
3
3
3
1
2
2
3
2
3
3
3
3
3
4
10
2
2
2
3
4
3
