collection,key
destination,1043
destination,1101
neighborhood,10672
neighborhood,10018
neighborhood,100
property,100245
property,100670
property,1004
property,100002
property,10026
property,100658
property,100363
property,100023
property,10009
property,10050
property,100634
lodging_type,1
lodging_type,6
lodging_type,8
destination,1662
destination,1
destination,1689
destination,1134
destination,124
destination,1848
destination,1012
destination,1439
neighborhood,10843
neighborhood,10059
neighborhood,10615
neighborhood,10290
neighborhood,10156
neighborhood,10511
neighborhood,10667
neighborhood,10280
neighborhood,10064
property,100323
property,10000
property,10012
property,100047
property,100096
lodging_type,2
lodging_type,7
lodging_type,5
lodging_type,4
lodging_type,8
destination,1475
destination,1280
destination,150
destination,133
destination,1822
destination,1053
destination,1104
destination,101
destination,1086
neighborhood,10591
neighborhood,10892
neighborhood,10511
property,1
property,100198
property,100289
property,100377
lodging_type,T
lodging_type,5
lodging_type,B
lodging_type,4
destination,1139
destination,1791
destination,1681
destination,104
destination,1102
destination,1508
destination,156
destination,1000
neighborhood,10269
neighborhood,1001
neighborhood,10049
neighborhood,10206
neighborhood,10599
property,100017
property,100312
property,100860
property,100130
property,100110
property,100082
property,100205
lodging_type,A
lodging_type,B
lodging_type,H
destination,1166
destination,1067
destination,1007
destination,1608
destination,1854
destination,1178
neighborhood,10038
neighborhood,1030
neighborhood,10351
neighborhood,10272
neighborhood,10050
neighborhood,10076
property,100014
property,100216
property,100795
lodging_type,3
lodging_type,G
lodging_type,5
lodging_type,8
lodging_type,H
destination,1003
destination,1459
destination,1009
destination,1793
neighborhood,10315
property,100782
property,100582
property,100459
property,100226
property,100039
lodging_type,2
lodging_type,T
lodging_type,G
lodging_type,7
lodging_type,A
lodging_type,5
lodging_type,4
lodging_type,8
destination,1032
destination,164
neighborhood,10298
neighborhood,10014
neighborhood,10015
neighborhood,10010
neighborhood,10110
property,100713
property,100307
property,100498
property,100120
property,100513
property,100734
lodging_type,3
lodging_type,T
lodging_type,H
destination,135
destination,1021
destination,1008
destination,1159
destination,1253
neighborhood,10093
neighborhood,1
neighborhood,10109
neighborhood,10222
property,100029
property,100537
property,100131
property,100011
lodging_type,2
lodging_type,G
lodging_type,7
lodging_type,B
lodging_type,C
lodging_type,4
destination,1021
destination,1503
destination,1455
destination,1043
destination,1160
destination,1587
destination,1176
destination,1776
neighborhood,10011
neighborhood,10325
neighborhood,10046
neighborhood,10013
neighborhood,10031
property,10016
property,100588
property,100265
property,100239
property,100149
property,100542
property,10052
property,100358
property,100109
lodging_type,3
lodging_type,1
lodging_type,B
lodging_type,C
lodging_type,8
destination,116
destination,1020
destination,1306
destination,1183
destination,139
destination,1017
destination,1190
destination,1853
destination,1086
neighborhood,10845
neighborhood,10160
neighborhood,1
neighborhood,1007
neighborhood,10864
neighborhood,10699
neighborhood,10646
property,100151
property,100449
property,10000
property,100654
property,10060
property,100632
property,100176
lodging_type,T
lodging_type,A
lodging_type,4
destination,1003
destination,1032
destination,10
destination,151
destination,1009
destination,1063
neighborhood,10015
neighborhood,10037
neighborhood,10440
neighborhood,10503
property,100476
property,10
property,100112
property,100097
lodging_type,1
lodging_type,6
lodging_type,5
lodging_type,B
lodging_type,C
destination,1119
destination,1434
destination,1236
destination,1761
destination,1008
destination,1145
destination,1057
destination,12
neighborhood,10526
neighborhood,10005
neighborhood,10229
neighborhood,10466
neighborhood,10121
neighborhood,10713
neighborhood,10165
neighborhood,10375
property,100398
property,10
property,100334
property,100489
property,100138
lodging_type,7
lodging_type,6
lodging_type,5
lodging_type,4
destination,1187
destination,162
destination,1639
destination,1128
destination,1219
neighborhood,10438
neighborhood,1001
neighborhood,10897
neighborhood,10252
neighborhood,10294
neighborhood,1000
property,100700
property,100829
property,100055
property,100204
property,100193
lodging_type,3
lodging_type,7
lodging_type,B
lodging_type,4
lodging_type,8
destination,1203
destination,1628
destination,1325
destination,1075
neighborhood,1022
neighborhood,10206
neighborhood,10543
neighborhood,10378
neighborhood,10453
property,10047
property,100078
property,100392
property,100417
property,100375
property,100108
property,100099
lodging_type,2
lodging_type,1
lodging_type,B
lodging_type,C
lodging_type,O
destination,1
destination,1614
destination,1329
destination,1009
destination,1071
destination,1534
neighborhood,10410
neighborhood,10476
neighborhood,10782
neighborhood,10088
property,100105
property,100567
property,100536
property,10079
property,100000
lodging_type,3
lodging_type,T
lodging_type,1
lodging_type,7
lodging_type,H
destination,1661
destination,1003
destination,1657
destination,1047
destination,1154
destination,1065
destination,1400
neighborhood,1051
neighborhood,10799
property,100637
property,100073
property,100005
property,100011
property,100162
lodging_type,1
lodging_type,B
destination,1198
destination,1192
destination,1006
destination,1635
destination,1114
destination,1063
destination,1088
destination,1207
neighborhood,10516
neighborhood,1
neighborhood,1006
neighborhood,10224
neighborhood,10078
neighborhood,10433
neighborhood,10115
neighborhood,10358
neighborhood,10687
property,100410
property,100395
property,100517
property,100007
property,100686
property,100114
property,100263
lodging_type,2
lodging_type,1
lodging_type,G
destination,1067
destination,1314
destination,1603
neighborhood,10001
neighborhood,10768
neighborhood,10437
neighborhood,1
neighborhood,10265
neighborhood,10797
neighborhood,10082
neighborhood,10811
neighborhood,10408
neighborhood,10638
property,10027
property,10000
property,100824
property,10043
property,100043
lodging_type,1
lodging_type,6
lodging_type,B
lodging_type,C
lodging_type,4
lodging_type,R
lodging_type,O
destination,1398
destination,1722
destination,1860
destination,1365
destination,1735
neighborhood,1
neighborhood,10036
neighborhood,10720
neighborhood,10406
neighborhood,10750
neighborhood,10860
neighborhood,1023
property,100209
property,10002
property,100638
property,100449
property,100091
property,100457
property,100619
property,100240
property,100546
property,10050
lodging_type,2
lodging_type,C
lodging_type,4
destination,1246
destination,1397
destination,1329
destination,1090
destination,1045
destination,1012
neighborhood,10756
neighborhood,1
neighborhood,1001
neighborhood,10162
neighborhood,10129
neighborhood,10235
neighborhood,1019
neighborhood,10522
neighborhood,1014
property,10001
property,100245
property,10071
property,100559
property,100355
property,100277
property,100454
lodging_type,3
lodging_type,1
lodging_type,7
destination,1119
destination,1021
destination,1157
destination,1082
destination,1063
destination,1000
neighborhood,1
neighborhood,10661
neighborhood,10173
neighborhood,10004
property,100697
property,10002
property,100563
property,100621
property,100346
property,100675
property,100025
property,100100
property,100097
property,100463
lodging_type,3
lodging_type,2
lodging_type,1
lodging_type,G
lodging_type,4
lodging_type,O
destination,1197
destination,1002
destination,113
destination,1112
destination,1037
destination,1739
neighborhood,10103
neighborhood,10721
neighborhood,10058
neighborhood,10136
neighborhood,10430
neighborhood,10686
property,100258
property,100056
lodging_type,1
lodging_type,A
lodging_type,6
lodging_type,5
lodging_type,O
destination,1717
destination,1167
destination,1781
destination,1535
neighborhood,10049
neighborhood,10162
neighborhood,10024
neighborhood,1029
neighborhood,10283
neighborhood,10729
neighborhood,10541
property,100821
lodging_type,3
lodging_type,2
lodging_type,T
lodging_type,1
lodging_type,7
lodging_type,R
lodging_type,8
destination,1832
destination,1896
destination,129
destination,1088
destination,1071
destination,1358
destination,1127
neighborhood,10681
neighborhood,10077
neighborhood,10093
neighborhood,10006
neighborhood,10778
neighborhood,10004
neighborhood,10275
neighborhood,106
neighborhood,10805
neighborhood,10251
neighborhood,10811
neighborhood,10595
neighborhood,10112
neighborhood,10134
property,100230
property,100639
property,100070
property,100007
property,10009
property,100264
lodging_type,2
lodging_type,1
lodging_type,7
lodging_type,A
lodging_type,6
lodging_type,C
lodging_type,H
destination,1833
destination,1091
destination,1298
destination,1454
destination,1791
destination,1693
destination,1122
destination,1256
neighborhood,10344
neighborhood,1040
neighborhood,10003
neighborhood,10748
neighborhood,10675
neighborhood,10051
neighborhood,10744
neighborhood,10462
property,100457
lodging_type,3
lodging_type,7
lodging_type,5
lodging_type,B
destination,1214
destination,1804
destination,1111
destination,1494
destination,1088
destination,1528
neighborhood,10092
neighborhood,10243
neighborhood,10412
neighborhood,10371
neighborhood,10012
neighborhood,1075
neighborhood,10491
property,10015
property,100070
property,100055
property,100732
property,100877
lodging_type,1
lodging_type,5
lodging_type,R
lodging_type,H
destination,1728
destination,1079
destination,1833
destination,1686
destination,1045
destination,1302
neighborhood,10105
neighborhood,10485
neighborhood,10550
neighborhood,10049
neighborhood,10023
neighborhood,10287
neighborhood,10078
property,100852
property,100761
property,1
property,100285
property,100132
property,100033
property,100356
lodging_type,5
lodging_type,O
destination,1051
destination,1486
destination,122
destination,1135
destination,1430
destination,1791
destination,1106
destination,1470
destination,1102
neighborhood,10039
neighborhood,10093
neighborhood,10
neighborhood,10605
neighborhood,10154
property,100749
property,100248
property,100123
property,100139
property,100572
property,100653
lodging_type,1
destination,116
destination,1084
destination,1218
destination,1492
neighborhood,10056
neighborhood,10
neighborhood,10000
neighborhood,10247
neighborhood,10252
neighborhood,10053
property,100629
property,100198
lodging_type,3
lodging_type,1
lodging_type,7
lodging_type,6
lodging_type,5
lodging_type,8
destination,1003
destination,126
destination,1638
destination,1035
destination,1113
destination,1039
neighborhood,10083
neighborhood,10514
neighborhood,10103
neighborhood,10096
neighborhood,10304
neighborhood,10199
neighborhood,1057
neighborhood,1036
property,1
property,10071
property,100555
lodging_type,3
lodging_type,5
lodging_type,R
destination,1753
destination,1270
destination,1610
destination,1534
neighborhood,10118
neighborhood,10080
neighborhood,10612
neighborhood,1006
neighborhood,10850
neighborhood,10008
neighborhood,10510
property,100024
property,100580
lodging_type,3
lodging_type,2
lodging_type,A
lodging_type,5
lodging_type,4
destination,1474
destination,1600
destination,1637
destination,1377
destination,1083
destination,1127
neighborhood,10709
neighborhood,10242
neighborhood,10044
neighborhood,10402
neighborhood,10332
property,100006
property,100279
property,100271
property,10077
lodging_type,2
lodging_type,1
lodging_type,G
lodging_type,B
lodging_type,5
lodging_type,C
lodging_type,8
lodging_type,H
destination,1501
destination,108
destination,1070
destination,1623
destination,1023
neighborhood,10278
neighborhood,10006
neighborhood,10113
property,100019
property,100220
property,100053
property,100014
property,100429
property,100204
lodging_type,1
destination,1020
destination,1674
destination,1348
destination,1838
destination,1107
neighborhood,10038
neighborhood,1
neighborhood,10643
neighborhood,10044
neighborhood,10182
neighborhood,10159
neighborhood,10020
neighborhood,10176
neighborhood,10112
property,100254
property,100783
property,100557
property,10051
lodging_type,3
lodging_type,2
lodging_type,1
lodging_type,A
lodging_type,5
lodging_type,C
lodging_type,H
destination,1415
destination,122
destination,1194
destination,1744
destination,1248
destination,1017
destination,1268
destination,1871
neighborhood,10001
neighborhood,1
neighborhood,10023
neighborhood,10159
neighborhood,10635
neighborhood,10087
property,100079
property,100689
property,100313
property,100196
property,100541
property,100835
property,100114
lodging_type,T
lodging_type,6
lodging_type,A
destination,1192
destination,1520
destination,1035
destination,18
destination,1010
neighborhood,10289
neighborhood,10833
neighborhood,10141
neighborhood,1020
neighborhood,10618
neighborhood,10017
neighborhood,10594
neighborhood,10167
property,100337
property,100267
lodging_type,2
lodging_type,1
lodging_type,6
lodging_type,5
lodging_type,R
lodging_type,8
destination,1560
destination,1421
destination,1139
destination,1134
destination,1193
destination,1057
destination,1176
neighborhood,10183
neighborhood,10123
neighborhood,10295
property,100382
property,10
property,1
property,100538
property,100128
property,100867
lodging_type,T
lodging_type,1
lodging_type,7
lodging_type,A
lodging_type,B
lodging_type,C
destination,1361
destination,123
destination,1062
destination,1303
destination,1012
neighborhood,10525
neighborhood,10105
neighborhood,10065
neighborhood,10848
neighborhood,10079
neighborhood,10106
property,100003
property,100777
property,100007
property,100112
property,100069
lodging_type,3
lodging_type,2
lodging_type,6
destination,1538
destination,1614
destination,1011
neighborhood,10709
neighborhood,10817
property,100102
property,100756
property,10058
property,100522
property,100138
property,100112
property,100094
property,100184
property,100646
property,1000
lodging_type,3
lodging_type,T
lodging_type,2
lodging_type,6
destination,1275
destination,1043
destination,1299
destination,1502
destination,1473
destination,1142
destination,104
destination,1073
neighborhood,10161
neighborhood,10002
neighborhood,10006
neighborhood,1006
neighborhood,10639
neighborhood,1000
neighborhood,10510
property,100398
property,100001
property,100605
property,100186
property,100525
property,100199
property,10087
property,100210
property,100213
lodging_type,2
lodging_type,1
lodging_type,4
lodging_type,8
destination,1003
destination,1119
destination,1
destination,108
destination,1035
neighborhood,1021
neighborhood,10
neighborhood,10089
property,100024
lodging_type,G
lodging_type,6
lodging_type,B
lodging_type,C
lodging_type,H
destination,1068
destination,1596
neighborhood,10421
neighborhood,10485
neighborhood,10139
neighborhood,10291
neighborhood,10543
neighborhood,10149
neighborhood,10109
neighborhood,10050
neighborhood,100
property,100064
property,10017
